,minute_idx,start,ziel
0,0,Übergang,Übergang
1,1202,Übergang,Übergang
2,1204,5C-01.2,5C-01.2
3,1320,5C-01.2,5C-01.2
4,1338,5C-01.2,5C-01.2
5,1363,5C-01.2,5C-01.2
6,1422,5C-01.2,5C-01.2
7,1446,5C-01.2,5C-01.2
8,1478,5C-01.2,5C-01.2
9,1621,5C-01.2,5C-01.2
10,1682,5C-01.1,5C-01.1
11,1725,5C-01.2,5C-01.2
12,1757,Übergang,Übergang
13,1801,Übergang,Übergang
14,1804,5C-01.2,5C-01.2
15,1938,5C-01.2,5C-01.2
16,2056,5C-01.2,5C-01.2
17,2089,5C-01.2,5C-01.2
18,2195,5C-01.2,5C-01.2
19,2257,5C-01.2,5C-01.2
20,2378,Übergang,Übergang
21,2403,Übergang,Übergang
22,2406,5C-01.2,5C-01.2
23,2435,5C-01.2,5C-01.2
24,2498,5C-01.2,5C-01.2
25,2554,5C-01.2,5C-01.2
26,2621,5C-01.2,5C-01.2
27,2644,5C-01.2,5C-01.2
28,2677,5C-01.2,5C-01.2
29,2774,5C-02.1,5C-02.1
30,2842,5C-01.2,5C-01.2
31,2957,Übergang,Übergang
